place,fee,displayFee,note,sort
Hà Nội — 2 địa điểm nội thành,100000,100.000đ,Áp dụng khi 2 điểm chụp cách nhau trên 5km.,1
Hà Nội — ngoại thành,200000,200.000đ,Chỉ chụp tại trường.,2
Vĩnh Phúc,300000,300.000đ,,3
Bắc Ninh,300000,300.000đ,,4
Lạng Sơn,800000,800.000đ,,5
Hải Dương,400000,400.000đ,,6
Thái Nguyên,500000,500.000đ,,7
Hải Phòng,600000,600.000đ,Huyện xa trung tâm có thể chênh thêm.,8
Hạ Long,700000,700.000đ,,9
Quảng Ninh,600000,600.000đ,,10
Phú Thọ,600000,600.000đ,,11
Sơn La,800000,800.000đ,,12
Lào Cai,900000,900.000đ,,13
Tuyên Quang,800000,800.000đ,,14
Bắc Kạn,800000,800.000đ,,15
Thanh Hoá,800000,800.000đ,,16
Ninh Bình,500000,500.000đ – 600.000đ,Xa trung tâm thành phố: 600.000đ.,17
Nghệ An,950000,900.000đ – 1.000.000đ,Huyện xa trung tâm có thể cao hơn do cần lưu trú qua đêm.,18
Hà Tĩnh,1050000,900.000đ – 1.200.000đ,Tuỳ địa điểm và yêu cầu lưu trú.,19
Lai Châu,1000000,800.000đ – 1.200.000đ,Huyện xa trung tâm có thể cao hơn.,20
Bắc Giang,500000,500.000đ,,21
Hà Nam,500000,500.000đ,,22
